Name	Affiliation	Creator	Producer	RelatedPerson	ReleaseManager	ORCID	Notes
"Bakker, Jurrian"	"Technical University, Delft"	x					None
"Beaucage, Peter"	National Institute of Standards and Technology	x				0000-0002-2147-0728	None
"Bouwman, Wim"	"Technical University, Delft"	x					None
"Butler, Paul"	National Institute of Standards and Technology	x				0000-0002-5978-4714	None
"Crake-Merani, James Akbar"	ISIS Neutron and Muon Source	x				0009-0003-1736-5567	None
"Doucet, Mathieu"	Oak Ridge National Laboratory	x				0000-0002-5560-6478	None
"Dresen, Dominique"	University of Cologne	x					None
"Gonzalez, Miguel"	Institut Laue-Langevin	x				0000-0002-3478-0215	None
"Hammond, Oliver"	European Spallation Source	x					None
"Heenan, Richard"	ISIS Neutron and Muon Source	x				0000-0002-7729-1454	None
"Honecker, Dirk"	ISIS Neutron and Muon Source	x					None
"Imperor-Clerc, Marianne"	National Centre for Scientific Research 	x				0000-0002-0269-7556	None
"Jackson, Andrew"	European Spallation Source	x				0000-0002-6296-0336	None
"Jensen, Grethe"	National Institute of Standards and Technology	x					None
"Kienzle, Paul"	National Institute of Standards and Technology	x				0000-0002-7893-0318	None
"King, Stephen"	ISIS Neutron and Muon Source	x	x			0000-0003-3386-9151	None
"Kline, Steve"	National Institute of Standards and Technology	x					None
"Krzywon, Jeff"	National Institute of Standards and Technology	x			x	0000-0002-2380-4090	None
"Lee, Sangjoon Bob"	Columbia University		x			0000-0002-2367-3932	None
"Liu, Yun"	National Institute of Standards and Technology	x					None
"Maranville, Brian"	National Institute of Standards and Technology	x				0000-0002-6105-8789	None
"Miller, Brayden"	National Institute of Standards and Technology	x					None
"Mokhtari, Sara"	Laboratory of Physics and Chemistry of Nano-Objects	x					None
"Nelson, Andrew "	Australian National Science and Technology Organisation	x					None
"Nielsen, Torben"	European Spallation Source	x	x				None
"O'Driscoll, Lewis"	ISIS Neutron and Muon Source	x					None
"Park, Helen"	National Institute of Standards and Technology	x					None
"Pauw, Brian"	Federal Institute for Materials Research and Testing			x			None
"Potrzebowski, Wojciech"	SciLifeLab at Lund University	x	x			0000-0002-7789-6779	None
"Prescott, Stuart"	University of New South Wales	x				0000-0001-5639-9688	None
"Rozyczko, Piotr"	European Spallation Source	x				0000-0002-2359-1013	None
"Sharp, Paul"	ISIS Neutron and Muon Source	x				0000-0003-3072-6155	None
"Stellhorn, Annika"	European Spallation Source	x					None
"Washington, Adam"	ISIS Neutron and Muon Source	x					None
"Wilkins, Lucas"	ISIS Neutron and Muon Source	x					None
"Wolf, Caitlyn"	National Institute of Standards and Technology	x				0000-0002-2956-7049	None
