GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:24   End: 01-Sep-16   12:23:29 
  
Foreground:  93193 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95103 +/- 0.010242  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 204 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
 
 
0.0399306	0.495938	0.0275034	0.00471442
0.0461801	0.601823	0.0179981	0.00480794
0.0519658	0.724525	0.0156418	0.00490303
0.0578791	0.980613	0.0153714	0.00500984
0.0639094	1.38067	0.0171931	0.00512844
0.0698138	1.89566	0.0191999	0.00525617
0.0757907	2.69453	0.0214643	0.00539353
0.0818611	3.42839	0.023208	0.00553989
0.0878521	3.81292	0.0238587	0.00569104
0.0937984	3.69338	0.0227111	0.00584668
0.0997329	3.10662	0.0202519	0.00603593
0.105788	2.4271	0.0170886	0.00623212
0.111814	1.87299	0.0150134	0.00640109
0.117765	1.5083	0.0131054	0.00662702
0.123807	1.21221	0.011489	0.00668684
0.129841	0.991507	0.0103408	0.00680967
0.135846	0.860723	0.00946518	0.00712461
0.141859	0.733918	0.00868659	0.00743994
0.14784	0.629451	0.00799138	0.00755558
0.153823	0.544322	0.00736919	0.0076497
0.159753	0.463544	0.00689812	0.00780975
0.165751	0.413464	0.00675448	0.00810292
0.171732	0.338734	0.00624157	0.00839535
0.177739	0.285851	0.0058941	0.00868898
0.18374	0.243791	0.00557873	0.00866381
0.189736	0.220321	0.00539338	0.00894656
0.195698	0.18442	0.00511573	0.00899438
0.201668	0.155093	0.00482891	0.0092688
0.207677	0.1391	0.00466528	0.00954494
0.213601	0.128787	0.00460373	0.00981725
0.219565	0.11741	0.00438863	0.0100913
0.225593	0.115272	0.00436179	0.0103684
0.231541	0.105303	0.00426966	0.0106418
0.237547	0.106812	0.00418721	0.0107734
0.243603	0.0982932	0.00409581	0.0108222
0.249624	0.102512	0.00410734	0.0110897
